,com.ibm.websphere.samples.pbw.ejb.BackOrderMgr,com.ibm.websphere.samples.pbw.ejb.CatalogMgr,com.ibm.websphere.samples.pbw.ejb.CustomerMgr,com.ibm.websphere.samples.pbw.ejb.EMailMessage,com.ibm.websphere.samples.pbw.ejb.MailerAppException,com.ibm.websphere.samples.pbw.ejb.MailerBean,com.ibm.websphere.samples.pbw.ejb.NoSupplierException,com.ibm.websphere.samples.pbw.ejb.ResetDBBean,com.ibm.websphere.samples.pbw.ejb.ShoppingCartBean,com.ibm.websphere.samples.pbw.ejb.ShoppingCartContent,com.ibm.websphere.samples.pbw.ejb.SuppliersBean,com.ibm.websphere.samples.pbw.jpa.BackOrder,com.ibm.websphere.samples.pbw.jpa.Customer,com.ibm.websphere.samples.pbw.jpa.Inventory,com.ibm.websphere.samples.pbw.jpa.Order,com.ibm.websphere.samples.pbw.jpa.OrderItem$PK,com.ibm.websphere.samples.pbw.jpa.OrderItem,com.ibm.websphere.samples.pbw.jpa.OrderKey,com.ibm.websphere.samples.pbw.jpa.Supplier,com.ibm.websphere.samples.pbw.migration.RedirectionFilter,com.ibm.websphere.samples.pbw.utils.ListProperties,com.ibm.websphere.samples.pbw.utils.Util,com.ibm.websphere.samples.pbw.war.AccountBean,com.ibm.websphere.samples.pbw.war.AccountServlet,com.ibm.websphere.samples.pbw.war.AdminServlet,com.ibm.websphere.samples.pbw.war.BackOrderItem,com.ibm.websphere.samples.pbw.war.HelpBean,com.ibm.websphere.samples.pbw.war.ImageServlet,com.ibm.websphere.samples.pbw.war.LoginInfo,com.ibm.websphere.samples.pbw.war.MailAction,com.ibm.websphere.samples.pbw.war.OrderInfo,com.ibm.websphere.samples.pbw.war.Populate,com.ibm.websphere.samples.pbw.war.ProductBean,com.ibm.websphere.samples.pbw.war.ShoppingBean,com.ibm.websphere.samples.pbw.war.ShoppingItem,com.ibm.websphere.samples.pbw.war.ValidatePasswords,com.ibm.websphere.samples.pbw.war.ValidatorUtils,org.pbw.test.InitialTest,pagecode.Help,pagecode.PageCodeBase
0,2,2,4,6,3,6,-1,2,0,0,2,1,4,0,5,-1,0,-1,2,-1,-1,-1,3,4,2,1,2,2,3,6,5,2,0,0,0,-1,-1,-1,-1,-1
1,1,1,3,5,2,5,-1,1,0,0,1,1,3,0,4,-1,0,-1,1,-1,-1,-1,2,3,1,1,1,1,2,5,4,1,0,0,0,-1,-1,-1,-1,-1
2,1,1,3,5,2,5,-1,1,0,0,1,1,3,0,4,-1,0,-1,1,-1,-1,-1,2,3,1,1,1,1,2,5,4,1,0,0,0,-1,-1,-1,-1,-1
3,1,1,1,6,2,6,-1,1,0,0,1,1,6,0,5,-1,0,-1,8,-1,-1,-1,2,3,1,1,1,4,2,6,5,1,0,0,0,-1,-1,-1,-1,-1
4,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
5,1,2,6,8,10,8,-1,1,1,0,1,1,6,0,7,-1,0,-1,1,-1,-1,-1,4,6,1,1,5,2,4,8,7,1,0,3,0,-1,-1,-1,-1,-1
6,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
7,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
8,1,1,3,5,2,5,-1,1,0,0,1,1,3,0,4,-1,0,-1,6,-1,-1,-1,2,3,1,1,1,1,2,5,4,1,0,0,0,-1,-1,-1,-1,-1
9,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
10,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
11,1,2,3,3,3,3,-1,1,0,0,1,1,3,0,3,-1,0,-1,1,-1,-1,-1,3,3,1,1,1,2,3,3,3,1,0,0,0,-1,-1,-1,-1,-1
12,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
13,1,1,3,5,2,5,-1,1,0,0,1,1,3,0,4,-1,0,-1,1,-1,-1,-1,2,3,1,1,1,1,2,5,4,1,0,0,0,-1,-1,-1,-1,-1
14,1,1,4,7,3,7,-1,1,1,0,1,1,4,0,6,-1,0,-1,8,-1,-1,-1,3,4,1,2,1,5,3,7,6,1,0,0,0,-1,-1,-1,-1,-1
15,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
16,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
17,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
18,1,2,3,5,3,5,-1,1,0,0,1,1,3,0,4,-1,0,-1,6,-1,-1,-1,3,3,1,1,1,2,3,5,4,1,0,0,0,-1,-1,-1,-1,-1
19,1,3,5,8,4,8,-1,2,0,0,6,1,5,0,7,-1,0,-1,6,-1,-1,-1,4,5,1,1,2,3,4,8,7,1,0,0,0,-1,-1,-1,-1,-1
20,1,1,2,2,2,2,-1,1,0,0,1,1,2,0,2,-1,0,-1,1,-1,-1,-1,2,2,1,1,1,1,2,2,2,1,0,0,0,-1,-1,-1,-1,-1
21,1,3,6,8,5,8,-1,2,0,0,2,1,6,0,7,-1,0,-1,9,-1,-1,-1,5,6,1,1,2,3,5,8,7,2,0,4,0,-1,-1,-1,-1,-1
22,1,2,4,6,3,6,-1,1,0,0,1,1,4,0,5,-1,0,-1,1,-1,-1,-1,3,4,1,1,1,2,3,6,5,1,0,0,0,-1,-1,-1,-1,-1
23,1,1,3,6,2,6,-1,1,0,0,1,1,3,0,5,-1,0,-1,1,-1,-1,-1,2,3,1,1,1,4,2,6,5,1,0,0,0,-1,-1,-1,-1,-1
